Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
YoungsEtAl1997GSCSSlabUpperLimit,YoungsEtAl1997GSCSSlabUpperLimit,1997,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA SA,Total,Yo1997GSCSSlabUpperLimit,"Implement modification to :class:`YoungsEtAl1997SSlab` as defined by GSC (Geological Survey of Canada) for the 2010 Western Canada Model. Includes adjustement for firm ground. The model is associated to the 'Upper Limit' case, that is mean value plus 0.7 natural logarithm."
YoungsEtAl1997SInter,YoungsEtAl1997SInter,1997,Subduction Interface,rrup,hypo_depth mag,vs30,PGA SA,Total,Yo1997SInter,"Implements GMPE developed by R.R Youngs, S-J, Chiou, W.J. Silva, J.R. Humphrey and published as ""Strong Ground Motion Attenuation Relationships for Subduction Zone Earthquakes"" (Seismological Research Letters Volume 68, No. 1, pages 58-73, 1997). This class implements the equations for 'Subduction Interface' (that's why the class name ends with 'SInter'). Mean value for SA at 4 s on rock (not originally supported) is obtained from mean value at 3 s divided by a factor equal to 0.399 (scaling factor computed in the context of the SHARE project obtained as average ratio between median values at 4 and 3 seconds as predicted by SHARE subduction GMPEs)."
YoungsEtAl1997SInterNSHMP2008,YoungsEtAl1997SInterNSHMP2008,1997,Subduction Interface,rrup,hypo_depth mag,vs30,PGA SA,Total,Yo1997SInterNSHMP2008,Extends :class:`YoungsEtAl1997SInter` and fix rupture hypocenter depth at 20 km as defined by the National Seismic Hazard Mapping Project (NSHMP) for the 2008 US model.
YoungsEtAl1997SSlab,YoungsEtAl1997SSlab,1997,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA SA,Total,Yo1997SSlab,"Implements GMPE developed by R.R Youngs, S-J, Chiou, W.J. Silva, J.R. Humphrey and published as ""Strong Ground Motion Attenuation Relationships for Subduction Zone Earthquakes"" (Seismological Research Letters Volume 68, No. 1, pages 58-73, 1997). This class implements the equations for 'Subduction IntraSlab' (that's why the class name ends with 'SSlab'). Mean value for SA at 4 s on rock (not originally supported) is obtained from mean value at 3 s divided by a factor equal to 0.399 (scaling factor computed in the context of the SHARE project obtained as average ratio between median values at 4 and 3 seconds as predicted by SHARE subduction GMPEs)."
YuEtAl2013Ms,YuEtAl2013Ms,2013,Active Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013Ms,Implements the Yu et al. (2013) GMPE used for the calculation of the 2015 version of the national seismic hazard maps for China. Note that magnitude supported is Ms.
YuEtAl2013MsEastern,YuEtAl2013MsEastern,2013,Stable Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MsEastern,
YuEtAl2013MsStable,YuEtAl2013MsStable,2013,Stable Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MsStable,
YuEtAl2013MsTibet,YuEtAl2013MsTibet,2013,Active Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MsTibet,
YuEtAl2013Mw,YuEtAl2013Mw,2013,Active Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013Mw,This is a modified version of the original Yu et al. (2013) that supports the use of Mw rather than Ms. The Mw to Ms conversion equation used is the one proposed by Cheng et al. (2017). Note that this version does not propagate the uncertainty related to the magnitude conversion process.
YuEtAl2013MwEastern,YuEtAl2013MwEastern,2013,Stable Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MwEastern,
YuEtAl2013MwStable,YuEtAl2013MwStable,2013,Stable Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MwStable,
YuEtAl2013MwTibet,YuEtAl2013MwTibet,2013,Active Shallow Crust,azimuth repi,mag,,PGA PGV SA,Total,Yu2013MwTibet,
ZafaraniEtAl2018,ZafaraniEtAl2018,2018,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Za2018,"Implements GMPE developed by H.Zafarani, L.Luzi, G.Lanzano, M.R.Soghrat and published as ""Empirical equations for the prediction of PGA and pseudo spectral accelerations using Iranian strong-motion data"", J Seismol, DOI 10.1007/s10950-017-9704-y. SA are given from 0.04 s to 4 s. The regressions are developed considering the geometrical mean of the horizontal components"
ZafaraniEtAl2018VHratio,ZafaraniEtAl2018VHratio,2018,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Za2018VHratio,Calculates the V/H ratio.
ZalachorisRathje2019,ZalachorisRathje2019,2019,Induced,rhypo rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,ZR2019,"Implements the Induced Seismicity GMPE of Zalachoris & Rathje (2019) for Texas, Oklahoma and Kansas. Ground Motion Model for Small-to-Moderate Earthquakes in Texas, Oklahoma, and Kansas. Earthquake Spectra. Data: 4528 observations from 376 EQs of Mw 3.0-5.8 in Texas, Oklahoma and Kansas, distances between 4 and 500km. PGA, PGV, SA(0-10s) version: Apr 28, 2020. Verified with margin 1%"
Zhang_Zhao2005Crust,Zhang_Zhao2005Crust,2005,Active Shallow Crust,rrup,mag rake,D50_15 F_15 T_15 freeface_ratio slope,LSD,Total,ZZ2005Crust,"Implements the GMPE of Zhang and Zhao. (2005) for Permanent ground deformation (m) from lateral spread Zhang, J., & Zhao, J. X. (2005). Empirical models for estimating liquefaction-induced lateral spread displacement. Soil Dynamics and Earthquake Engineering, 25(6), 439-450. This model is based on Sadigh et al. (1997) and Young et al. (1997) models"
Zhang_Zhao2005SInter,Zhang_Zhao2005SInter,2005,Subduction Interface,rrup,hypo_depth mag,D50_15 F_15 T_15 freeface_ratio slope,LSD,Total,ZZ2005SInter,"Implements the GMPE of Zhang and Zhao. (2005) for Permanent ground deformation (m) from lateral spread Zhang, J., & Zhao, J. X. (2005). Empirical models for estimating liquefaction-induced lateral spread displacement. Soil Dynamics and Earthquake Engineering, 25(6), 439-450. This model is based on Sadigh et al. (1997) and Young et al. (1997) models"
Zhang_Zhao2005SSlab,Zhang_Zhao2005SSlab,2005,Subduction IntraSlab,rrup,hypo_depth mag,D50_15 F_15 T_15 freeface_ratio slope,LSD,Total,ZZ2005SSlab,"Implements the GMPE of Zhang and Zhao. (2005) for Permanent ground deformation (m) from lateral spread Zhang, J., & Zhao, J. X. (2005). Empirical models for estimating liquefaction-induced lateral spread displacement. Soil Dynamics and Earthquake Engineering, 25(6), 439-450. This model is based on Sadigh et al. (1997) and Young et al. (1997) models"
ZhaoEtAl2006Asc,ZhaoEtAl2006Asc,2006,Active Shallow Crust,rrup,hypo_depth mag rake,vs30,PGA SA,Inter event Intra event Total,Zh2006Asc,"Implements GMPE developed by John X. Zhao et al. and published as ""Attenuation Relations of Strong Ground Motion in Japan Using Site Classification Based on Predominant Period"" (2006, Bulletin of the Seismological Society of America, Volume 96, No. 3, pages 898-913). This class implements the equations for 'Active Shallow Crust' (that's why the class name ends with 'Asc')."
